locus_tag,start,end,length,strand,old_locus_tag,ncbi_protein,gene_name,gene_product,Eggnog_description,COG_category,GOs,EC,KEGG_ko,KEGG_Pathway,KEGG_Module,KEGG_Reaction,KEGG_rclass,BRITE,KEGG_TC,CAZy,BiGG_Reaction,PFAMs,ENTRAF_TF,ENTRAF_hmm_acc,ENTRAF_hmm_name,ENTRAF_Ortholog,DeepTFactor_TF,DeepTFactor_score,P2TF_TF,P2TF_class,P2TF_type,P2TF_description
SYNPCC7942_RS04300,826400,826624,225,-,,WP_011243020.1,,IS5 family transposase,Transposase,L,,,ko:K07492,,,,,ko00000,,,,"DDE_Tnp_1,DDE_Tnp_1_2,DUF4096",False,,,,False,0.0211,False,,,
SYNPCC7942_RS04310,827112,828182,1071,+,Synpcc7942_0833,WP_011377752.1,,hypothetical protein,,X,,,,,,,,,,,,,False,,,,False,0.0134,False,,,
SYNPCC7942_RS14150,828183,828359,177,+,,WP_173282520.1,,hypothetical protein,,X,,,,,,,,,,,,,False,,,,False,0.0774,False,,,
SYNPCC7942_RS04315,828576,829235,660,+,Synpcc7942_0834,WP_155813979.1,,alpha/beta hydrolase,dienelactone hydrolase,KT,,,,,,,,,,,,PAF-AH_p_II,False,,,,False,0.0097,False,,,
SYNPCC7942_RS04320,829661,830788,1128,+,Synpcc7942_0835,WP_011377754.1,ruvB,Holliday junction branch migration DNA helicase RuvB,"The RuvA-RuvB complex in the presence of ATP renatures cruciform structure in supercoiled DNA with palindromic sequence, indicating that it may promote strand exchange reactions in homologous recombination. RuvAB is a helicase that mediates the Holliday junction migration by localized denaturation and reannealing",L,,3.6.4.12,ko:K03551,"ko03440,map03440",,,,"ko00000,ko00001,ko01000,ko03400",,,,"RuvB_C,RuvB_N",False,,,,False,0.0115,False,,,
SYNPCC7942_RS04325,831166,832182,1017,-,Synpcc7942_0836,WP_011377755.1,,sll0787 family AIR synthase-like protein,"AIR synthase related protein, C-terminal domain",S,,,ko:K07123,,,,,ko00000,,,,"AIRS,AIRS_C",False,,,,False,0.0078,False,,,
SYNPCC7942_RS04330,832179,832811,633,-,Synpcc7942_0837,WP_011377756.1,,GNAT family N-acetyltransferase,Acetyltransferase (GNAT) family,K,,,,,,,,,,,,Acetyltransf_1,False,,,,False,0.0502,False,,,
SYNPCC7942_RS04335,832860,833957,1098,-,Synpcc7942_0838,WP_011377757.1,,MSMEG_0568 family radical SAM protein,"Elongator protein 3, MiaB family, Radical SAM",S,,,,,,,,,,,,Radical_SAM,False,,,,False,0.0146,False,,,
SYNPCC7942_RS04340,833950,834954,1005,-,Synpcc7942_0839,WP_011243013.1,,Nit6803 family nitriliase,Carbon-nitrogen hydrolase,S,,"3.5.5.1,3.5.5.7","ko:K01501,ko:K01502","ko00380,ko00460,ko00627,ko00643,ko00910,ko01120,map00380,map00460,map00627,map00643,map00910,map01120",,"R00540,R01887,R03093,R03542,R05358,R05591,R07855","RC00315,RC00325,RC00617,RC00959,RC01336,RC02811","ko00000,ko00001,ko01000",,,,CN_hydrolase,False,,,,False,0.012,False,,,
SYNPCC7942_RS04345,834991,835473,483,-,Synpcc7942_0840,WP_011377758.1,,MSMEG_0572 family nitrogen starvation response protein,TIGRFAM MSMEG_0572 family protein,S,,,,,,,,,,,,,False,,,,False,0.0102,False,,,
SYNPCC7942_RS04350,835671,837011,1341,+,Synpcc7942_0841,WP_011243011.1,,MSMEG_0569 family flavin-dependent oxidoreductase,L-lysine 6-monooxygenase (NADPH-requiring),P,,,ko:K07222,,,,,ko00000,,,,Pyr_redox_3,False,,,,False,0.0082,False,,,
SYNPCC7942_RS04355,837065,838405,1341,-,Synpcc7942_0842,WP_011377759.1,gor,glutathione-disulfide reductase,Belongs to the class-I pyridine nucleotide-disulfide oxidoreductase family,C,"GO:0005575,GO:0005622,GO:0005623,GO:0005737,GO:0044424,GO:0044464",1.8.1.7,ko:K00383,"ko00480,ko04918,map00480,map04918",,"R00094,R00115",RC00011,"ko00000,ko00001,ko01000",,,,"Pyr_redox_2,Pyr_redox_dim",False,,,,False,0.0057,False,,,
SYNPCC7942_RS04360,838504,838935,432,-,Synpcc7942_0843,WP_011243009.1,,hypothetical protein,,X,,,,,,,,,,,,,False,,,,False,0.0093,False,,,
SYNPCC7942_RS04365,839099,839809,711,-,Synpcc7942_0844,WP_011377760.1,,PHP domain-containing protein,Metal-dependent phosphoesterases (PHP family),S,,,,,,,,,,,,PHP,False,,,,False,0.0115,False,,,
SYNPCC7942_RS04370,840263,841081,819,-,Synpcc7942_0846,WP_011243006.1,,D-hexose-6-phosphate mutarotase,Aldose 1-epimerase,G,,5.1.3.15,ko:K01792,"ko00010,ko01100,ko01110,ko01120,ko01130,map00010,map01100,map01110,map01120,map01130",,R02739,RC00563,"ko00000,ko00001,ko01000",,,,Aldose_epim,False,,,,False,0.0074,False,,,
SYNPCC7942_RS04375,841120,842232,1113,-,Synpcc7942_0847,WP_011243005.1,,PilT/PilU family type 4a pilus ATPase,"COG2805 Tfp pilus assembly protein, pilus retraction ATPase PilT",NU,,,ko:K02669,,,,,"ko00000,ko02035,ko02044",3.A.15.2,,,T2SSE,False,,,,False,0.0075,False,,,
SYNPCC7942_RS04380,842336,845347,3012,-,Synpcc7942_0848,WP_011243004.1,uvrA,excinuclease ABC subunit UvrA,"The UvrABC repair system catalyzes the recognition and processing of DNA lesions. UvrA is an ATPase and a DNA-binding protein. A damage recognition complex composed of 2 UvrA and 2 UvrB subunits scans DNA for abnormalities. When the presence of a lesion has been verified by UvrB, the UvrA molecules dissociate",L,,,ko:K03701,"ko03420,map03420",,,,"ko00000,ko00001,ko03400",,,,ABC_tran,False,,,,False,0.0,False,,,
SYNPCC7942_RS13960,845474,845635,162,+,,WP_155813866.1,,hypothetical protein,,X,,,,,,,,,,,,,False,,,,False,0.0072,False,,,
SYNPCC7942_RS04385,845822,846409,588,-,Synpcc7942_0849,WP_011243003.1,hemJ,protoporphyrinogen oxidase HemJ,membrane,S,,,ko:K08973,,,,,ko00000,,,,UPF0093,False,,,,False,0.0051,False,,,
SYNPCC7942_RS04390,846479,846679,201,-,Synpcc7942_0850,WP_011243002.1,,DUF2811 domain-containing protein,Protein of unknown function (DUF2811),S,,,,,,,,,,,,DUF2811,False,,,,False,0.0091,False,,,
SYNPCC7942_RS04395,847233,848258,1026,+,Synpcc7942_0851,WP_011377763.1,purM,phosphoribosylformylglycinamidine cyclo-ligase,Phosphoribosylformylglycinamidine cyclo-ligase,F,,6.3.3.1,ko:K01933,"ko00230,ko01100,ko01110,ko01130,map00230,map01100,map01110,map01130",M00048,R04208,RC01100,"ko00000,ko00001,ko00002,ko01000",,,,"AIRS,AIRS_C",False,,,,False,0.0085,False,,,
SYNPCC7942_RS13715,848422,848883,462,+,,WP_162010020.1,,transposase,Transposase,L,,,ko:K07492,,,,,ko00000,,,,"DDE_Tnp_1,DDE_Tnp_1_2,DUF4096",False,,,,False,0.0068,False,,,
SYNPCC7942_RS04400,848870,850105,1236,+,Synpcc7942_0853,WP_011242999.1,dapL,LL-diaminopimelate aminotransferase,"Involved in the synthesis of meso-diaminopimelate (m-DAP or DL-DAP), required for both lysine and peptidoglycan biosynthesis. Catalyzes the direct conversion of tetrahydrodipicolinate to LL-diaminopimelate",H,,2.6.1.83,ko:K10206,"ko00300,ko01100,ko01110,ko01130,ko01230,map00300,map01100,map01110,map01130,map01230",M00527,R07613,"RC00006,RC01847","ko00000,ko00001,ko00002,ko01000,ko01007",,,,Aminotran_1_2,False,,,,False,0.0082,False,,,
SYNPCC7942_RS04405,850233,852629,2397,+,Synpcc7942_0854,WP_011377764.1,,GH116 family glycosyl hydrolase,bile acid beta-glucosidase,G,,3.2.1.45,ko:K17108,"ko00511,ko00600,ko01100,map00511,map00600,map01100",,R01498,"RC00059,RC00451","ko00000,ko00001,ko01000",,GH116,,"DUF608,Glyco_hydr_116N",False,,,,False,0.0071,False,,,
SYNPCC7942_RS13965,852745,852918,174,-,,WP_155813980.1,,hypothetical protein,,X,,,,,,,,,,,,,False,,,,False,0.0107,False,,,
SYNPCC7942_RS04410,853629,854882,1254,+,Synpcc7942_0855,WP_011377765.1,,response regulator,cheY-homologous receiver domain,T,,,ko:K02657,"ko02020,ko02025,map02020,map02025",M00507,,,"ko00000,ko00001,ko00002,ko02022,ko02035,ko02044",,,,"DUF4388,Response_reg",False,,,,False,0.4553,False,,,
SYNPCC7942_RS04415,854933,855295,363,+,Synpcc7942_0856,WP_011242996.1,,response regulator,response regulator,T,,,ko:K02658,"ko02020,ko02025,map02020,map02025",M00507,,,"ko00000,ko00001,ko00002,ko02022,ko02035,ko02044",,,,Response_reg,False,,,,False,0.3176,False,,,
SYNPCC7942_RS04420,855315,855821,507,+,Synpcc7942_0857,WP_011242995.1,,chemotaxis protein CheW,Two component signalling adaptor domain,NT,,,ko:K02659,"ko02020,ko02025,map02020,map02025",,,,"ko00000,ko00001,ko02035,ko02044",,,,CheW,False,,,,False,0.0238,False,,,
SYNPCC7942_RS04425,855893,860113,4221,+,Synpcc7942_0858,WP_011377766.1,,GAF domain-containing protein,Methyl-accepting chemotaxis protein,T,,,"ko:K02660,ko:K11525","ko02020,ko02025,map02020,map02025",,,,"ko00000,ko00001,ko02035,ko02044",,,,"GAF,HAMP,MCPsignal,dCache_1",False,,,,False,0.0,False,,,
SYNPCC7942_RS04430,860118,862976,2859,+,Synpcc7942_0859,WP_011377767.1,,response regulator,"Histidine kinase-, DNA gyrase B-, and HSP90-like",T,,,"ko:K06596,ko:K11526","ko02020,ko02025,map02020,map02025","M00507,M00508",,,"ko00000,ko00001,ko00002,ko01001,ko02022,ko02035",,,,"CheW,H-kinase_dim,HATPase_c,Hpt,Response_reg",False,,,,True,0.9036,False,,,
SYNPCC7942_RS04435,862987,863946,960,+,Synpcc7942_0860,WP_011242992.1,,chemotaxis protein CheW,CheW-like domain,NT,,,,,,,,,,,,CheW,False,,,,False,0.026,False,,,
SYNPCC7942_RS04440,864180,865469,1290,-,Synpcc7942_0861,WP_011242991.1,,bifunctional sterol desaturase/short chain dehydrogenase,IQR COG1028 Dehydrogenases with different specificities (related to short-chain alcohol dehydrogenases),I,"GO:0003674,GO:0003824,GO:0016853,GO:0016854,GO:0016857",5.1.3.34,ko:K20024,"ko00561,map00561",,R11080,RC00289,"ko00000,ko00001,ko01000",,,,"FA_hydroxylase,adh_short",False,,,,False,0.0208,False,,,
SYNPCC7942_RS04445,865596,865973,378,+,Synpcc7942_0862,WP_011242990.1,,hypothetical protein,,X,,,,,,,,,,,,,False,,,,False,0.0149,False,,,
SYNPCC7942_RS04450,866027,867208,1182,+,Synpcc7942_0863,WP_011242989.1,pta,phosphotransacetylase family protein,BioD-like N-terminal domain of phosphotransacetylase,C,,,ko:K06873,,,,,ko00000,,,,"AAA_26,DRTGG",False,,,,False,0.0321,False,,,
SYNPCC7942_RS04455,867395,867913,519,+,Synpcc7942_0864,WP_011242988.1,,hypothetical protein,Rossmann fold nucleotide-binding protein involved in DNA uptake,LU,,,,,,,,,,,,DNA_processg_A,False,,,,False,0.1043,False,,,
SYNPCC7942_RS04460,867986,868477,492,+,Synpcc7942_0865,WP_011242987.1,,YajQ family cyclic di-GMP-binding protein,Belongs to the UPF0234 family,S,,,ko:K09767,,,,,ko00000,,,,DUF520,False,,,,False,0.0086,False,,,
SYNPCC7942_RS04465,868540,869121,582,+,Synpcc7942_0866,WP_011377768.1,,hypothetical protein,,X,,,,,,,,,,,,,False,,,,False,0.0073,False,,,
SYNPCC7942_RS04470,869229,869504,276,+,Synpcc7942_0867,WP_126148234.1,,hypothetical protein,granule-associated protein,S,,,,,,,,,,,,,False,,,,False,0.0129,False,,,
SYNPCC7942_RS04475,869505,871253,1749,+,Synpcc7942_0868,WP_011242984.1,,AarF/ABC1/UbiB kinase family protein,unusual protein kinase,S,,,,,,,,,,,,ABC1,False,,,,False,0.0203,False,,,
SYNPCC7942_RS04480,871262,871852,591,+,Synpcc7942_0869,WP_011377770.1,,helix-hairpin-helix domain-containing protein,COG1555 DNA uptake protein and related DNA-binding,L,,,,,,,,,,,,HHH_3,False,,,,False,0.0245,False,,,
SYNPCC7942_RS04485,871886,872113,228,-,Synpcc7942_0870,WP_011242982.1,,type II toxin-antitoxin system HicA family toxin,"HicA toxin of bacterial toxin-antitoxin,",N,,,,,,,,,,,,HicA_toxin,False,,,,True,0.5334,False,,,
SYNPCC7942_RS04490,872106,872315,210,-,Synpcc7942_0871,WP_039755800.1,,type II toxin-antitoxin system HicB family antitoxin,PFAM Uncharacterised protein family UPF0150,S,,,,,,,,,,,,,False,,,,False,0.0079,False,,,
SYNPCC7942_RS04495,872362,872940,579,+,Synpcc7942_0872,WP_011242980.1,,hypothetical protein,Alternative locus ID,S,,,,,,,,,,,,,False,,,,False,0.0114,False,,,
SYNPCC7942_RS04500,873108,874196,1089,-,Synpcc7942_0873,WP_011242979.1,,DUF4062 domain-containing protein,Domain of unknown function (DUF4062),S,,,,,,,,,,,,DUF4062,False,,,,False,0.0047,False,,,
SYNPCC7942_RS04505,874390,877449,3060,-,Synpcc7942_0874,WP_011377772.1,hepA,DEAD/DEAH box helicase,"Superfamily II DNA RNA helicases, SNF2 family",L,,,,,,,,,,,,"DUF3670,Helicase_C,Intein_splicing,LAGLIDADG_3,SNF2_N",False,,,,False,0.0,False,,,
SYNPCC7942_RS04510,877453,877956,504,-,Synpcc7942_0875,WP_011242977.1,,hypothetical protein,,X,,,,,,,,,,,,,False,,,,False,0.0044,False,,,
SYNPCC7942_RS04515,878045,880675,2631,+,Synpcc7942_0876,WP_039755798.1,alaS,alanine--tRNA ligase,Catalyzes the attachment of alanine to tRNA(Ala) in a two-step reaction alanine is first activated by ATP to form Ala- AMP and then transferred to the acceptor end of tRNA(Ala). Also edits incorrectly charged Ser-tRNA(Ala) and Gly-tRNA(Ala) via its editing domain,J,"GO:0000049,GO:0003674,GO:0003676,GO:0003723,GO:0003824,GO:0004812,GO:0004813,GO:0005488,GO:0006082,GO:0006139,GO:0006396,GO:0006399,GO:0006400,GO:0006412,GO:0006418,GO:0006419,GO:0006518,GO:0006520,GO:0006725,GO:0006807,GO:0008033,GO:0008150,GO:0008152,GO:0009058,GO:0009059,GO:0009451,GO:0009987,GO:0010467,GO:0016070,GO:0016597,GO:0016874,GO:0016875,GO:0019538,GO:0019752,GO:0031406,GO:0034470,GO:0034641,GO:0034645,GO:0034660,GO:0036094,GO:0043038,GO:0043039,GO:0043043,GO:0043167,GO:0043168,GO:0043170,GO:0043177,GO:0043412,GO:0043436,GO:0043603,GO:0043604,GO:0044237,GO:0044238,GO:0044249,GO:0044260,GO:0044267,GO:0044271,GO:0044281,GO:0046483,GO:0071704,GO:0090304,GO:0097159,GO:0140098,GO:0140101,GO:1901360,GO:1901363,GO:1901564,GO:1901566,GO:1901576",6.1.1.7,ko:K01872,"ko00970,map00970","M00359,M00360",R03038,"RC00055,RC00523","ko00000,ko00001,ko00002,ko01000,ko01007,ko03016",,,,"DHHA1,tRNA-synt_2c,tRNA_SAD",True,-,-,SYA_ECOLI,False,0.008,False,,,
SYNPCC7942_RS04520,880867,883485,2619,+,Synpcc7942_0877,WP_011242975.1,,TIGR03960 family B12-binding radical SAM protein,Radical SAM,C,,,,,,,,,,,,"DUF2344,Radical_SAM",False,,,,False,0.0691,False,,,
SYNPCC7942_RS14155,883728,883937,210,-,,WP_162010011.1,,hypothetical protein,,X,,,,,,,,,,,,,False,,,,False,0.007,False,,,
SYNPCC7942_RS04525,883835,886261,2427,+,Synpcc7942_0878,WP_011377775.1,rne,Rne/Rng family ribonuclease,"ribonuclease, Rne Rng family",J,"GO:0003674,GO:0003824,GO:0004518,GO:0004540,GO:0005575,GO:0005622,GO:0005623,GO:0005737,GO:0006139,GO:0006364,GO:0006396,GO:0006725,GO:0006807,GO:0008150,GO:0008152,GO:0009987,GO:0010467,GO:0016070,GO:0016072,GO:0016787,GO:0016788,GO:0022613,GO:0034470,GO:0034641,GO:0034660,GO:0042254,GO:0043170,GO:0044085,GO:0044237,GO:0044238,GO:0044424,GO:0044464,GO:0046483,GO:0071704,GO:0071840,GO:0090304,GO:0090305,GO:0090501,GO:0140098,GO:1901360",3.1.26.12,ko:K08300,"ko03018,map03018",M00394,,,"ko00000,ko00001,ko00002,ko01000,ko03009,ko03019",,,,RNase_E_G,False,,,,False,0.0068,False,,,
SYNPCC7942_RS04530,886245,886892,648,+,Synpcc7942_0879,WP_011242973.1,rnhB,ribonuclease HII,Endonuclease that specifically degrades the RNA of RNA- DNA hybrids,L,"GO:0003674,GO:0003824,GO:0004518,GO:0004519,GO:0004521,GO:0004523,GO:0004540,GO:0005575,GO:0005622,GO:0005623,GO:0006139,GO:0006259,GO:0006260,GO:0006261,GO:0006271,GO:0006273,GO:0006281,GO:0006298,GO:0006401,GO:0006725,GO:0006807,GO:0006950,GO:0006974,GO:0008150,GO:0008152,GO:0009056,GO:0009057,GO:0009058,GO:0009059,GO:0009987,GO:0016070,GO:0016787,GO:0016788,GO:0016891,GO:0016893,GO:0019439,GO:0022616,GO:0032299,GO:0032991,GO:0033554,GO:0033567,GO:0034641,GO:0034645,GO:0034655,GO:0043137,GO:0043170,GO:0044237,GO:0044238,GO:0044248,GO:0044249,GO:0044260,GO:0044265,GO:0044270,GO:0044424,GO:0044464,GO:0046483,GO:0046700,GO:0050896,GO:0051716,GO:0071704,GO:0090304,GO:0090305,GO:0090501,GO:0090502,GO:0140098,GO:1901360,GO:1901361,GO:1901575,GO:1901576",3.1.26.4,ko:K03470,"ko03030,map03030",,,,"ko00000,ko00001,ko01000,ko03032",,,,RNase_HII,False,,,,False,0.0097,False,,,
SYNPCC7942_RS04535,886915,887472,558,-,Synpcc7942_0880,WP_011242972.1,,DUF1997 domain-containing protein,Protein of unknown function (DUF1997),S,,,,,,,,,,,,DUF1997,False,,,,False,0.1805,False,,,
SYNPCC7942_RS04540,887531,888427,897,+,Synpcc7942_0881,WP_155813981.1,pheA,prephenate dehydratase,Prephenate dehydratase,E,,4.2.1.51,ko:K04518,"ko00400,ko01100,ko01110,ko01130,ko01230,map00400,map01100,map01110,map01130,map01230",M00024,"R00691,R01373",RC00360,"ko00000,ko00001,ko00002,ko01000",,,,"ACT,PDT",False,,,,False,0.0225,False,,,
SYNPCC7942_RS04545,888440,889096,657,-,Synpcc7942_0882,WP_011242970.1,lon,LON peptidase substrate-binding domain-containing protein,ATP-dependent protease La (LON) domain,S,,3.4.21.53,ko:K01338,"ko04112,map04112",,,,"ko00000,ko00001,ko01000,ko01002",,,,LON_substr_bdg,False,,,,False,0.0082,False,,,
SYNPCC7942_RS04550,889306,889623,318,-,Synpcc7942_0883,WP_011242969.1,rpsJ,30S ribosomal protein S10,Involved in the binding of tRNA to the ribosomes,J,"GO:0003674,GO:0003735,GO:0005198,GO:0005575,GO:0005622,GO:0005623,GO:0005737,GO:0005840,GO:0006412,GO:0006518,GO:0006807,GO:0008150,GO:0008152,GO:0009058,GO:0009059,GO:0009987,GO:0010467,GO:0015935,GO:0019538,GO:0032991,GO:0034641,GO:0034645,GO:0043043,GO:0043170,GO:0043226,GO:0043228,GO:0043229,GO:0043232,GO:0043603,GO:0043604,GO:0044237,GO:0044238,GO:0044249,GO:0044260,GO:0044267,GO:0044271,GO:0044391,GO:0044422,GO:0044424,GO:0044444,GO:0044446,GO:0044464,GO:0071704,GO:1901564,GO:1901566,GO:1901576,GO:1990904",,ko:K02946,"ko03010,map03010","M00178,M00179",,,"br01610,ko00000,ko00001,ko00002,ko03011",,,,Ribosomal_S10,False,,,,False,0.0082,False,,,
SYNPCC7942_RS04555,889697,890926,1230,-,Synpcc7942_0884,WP_011242968.1,tuf,elongation factor Tu,This protein promotes the GTP-dependent binding of aminoacyl-tRNA to the A-site of ribosomes during protein biosynthesis,J,,,ko:K02358,,,,,"ko00000,ko03012,ko03029,ko04147",,,,"GTP_EFTU,GTP_EFTU_D2,GTP_EFTU_D3",False,,,,False,0.01,False,,,
SYNPCC7942_RS04560,890953,893037,2085,-,Synpcc7942_0885,WP_011242967.1,fusA,elongation factor G,"Catalyzes the GTP-dependent ribosomal translocation step during translation elongation. During this step, the ribosome changes from the pre-translocational (PRE) to the post- translocational (POST) state as the newly formed A-site-bound peptidyl-tRNA and P-site-bound deacylated tRNA move to the P and E sites, respectively. Catalyzes the coordinated movement of the two tRNA molecules, the mRNA and conformational changes in the ribosome",J,,,ko:K02355,,,,,"ko00000,ko03012,ko03029",,,,"EFG_C,EFG_II,EFG_IV,GTP_EFTU,GTP_EFTU_D2",False,,,,False,0.0075,False,,,
SYNPCC7942_RS04565,893112,893582,471,-,Synpcc7942_0886,WP_011242966.1,rpsG,30S ribosomal protein S7,"One of the primary rRNA binding proteins, it binds directly to 16S rRNA where it nucleates assembly of the head domain of the 30S subunit. Is located at the subunit interface close to the decoding center, probably blocks exit of the E-site tRNA",J,"GO:0000028,GO:0003674,GO:0003676,GO:0003723,GO:0003729,GO:0003735,GO:0005198,GO:0005488,GO:0005575,GO:0005622,GO:0005623,GO:0005737,GO:0005829,GO:0005840,GO:0006412,GO:0006518,GO:0006807,GO:0006996,GO:0008150,GO:0008152,GO:0009058,GO:0009059,GO:0009987,GO:0010467,GO:0015935,GO:0016043,GO:0019538,GO:0019843,GO:0022607,GO:0022613,GO:0022618,GO:0022626,GO:0022627,GO:0032991,GO:0034622,GO:0034641,GO:0034645,GO:0042254,GO:0042255,GO:0042274,GO:0043043,GO:0043170,GO:0043226,GO:0043228,GO:0043229,GO:0043232,GO:0043603,GO:0043604,GO:0043933,GO:0044085,GO:0044237,GO:0044238,GO:0044249,GO:0044260,GO:0044267,GO:0044271,GO:0044391,GO:0044422,GO:0044424,GO:0044444,GO:0044445,GO:0044446,GO:0044464,GO:0065003,GO:0070925,GO:0071704,GO:0071826,GO:0071840,GO:0097159,GO:1901363,GO:1901564,GO:1901566,GO:1901576,GO:1990904",,ko:K02992,"ko03010,map03010","M00178,M00179",,,"br01610,ko00000,ko00001,ko00002,ko03011",,,,Ribosomal_S7,False,,,,False,0.0104,False,,,
SYNPCC7942_RS04570,893750,894124,375,-,Synpcc7942_0887,WP_011242965.1,rpsL,30S ribosomal protein S12,"Interacts with and stabilizes bases of the 16S rRNA that are involved in tRNA selection in the A site and with the mRNA backbone. Located at the interface of the 30S and 50S subunits, it traverses the body of the 30S subunit contacting proteins on the other side and probably holding the rRNA structure together. The combined cluster of proteins S8, S12 and S17 appears to hold together the shoulder and platform of the 30S subunit",J,"GO:0003674,GO:0003735,GO:0005198,GO:0005575,GO:0005622,GO:0005623,GO:0005737,GO:0005840,GO:0006412,GO:0006518,GO:0006807,GO:0008150,GO:0008152,GO:0009058,GO:0009059,GO:0009987,GO:0010467,GO:0019538,GO:0032991,GO:0034641,GO:0034645,GO:0043043,GO:0043170,GO:0043226,GO:0043228,GO:0043229,GO:0043232,GO:0043603,GO:0043604,GO:0044237,GO:0044238,GO:0044249,GO:0044260,GO:0044267,GO:0044271,GO:0044424,GO:0044444,GO:0044464,GO:0071704,GO:1901564,GO:1901566,GO:1901576,GO:1990904",,ko:K02950,"ko03010,map03010","M00178,M00179",,,"br01610,ko00000,ko00001,ko00002,ko03011",,,,Ribosom_S12_S23,False,,,,False,0.0069,False,,,
SYNPCC7942_RS04575,894280,894639,360,-,Synpcc7942_0888,WP_011242964.1,,phosphomannose isomerase type II C-terminal cupin domain,mannose-6-phosphate isomerase,G,,5.3.1.8,ko:K01809,"ko00051,ko00520,ko01100,ko01110,ko01130,map00051,map00520,map01100,map01110,map01130",M00114,R01819,RC00376,"ko00000,ko00001,ko00002,ko01000",,,,MannoseP_isomer,False,,,,False,0.1139,False,,,
SYNPCC7942_RS04580,894636,896453,1818,-,Synpcc7942_0889,WP_011377777.1,,phosphodiester glycosidase family protein,Phosphodiester glycosidase,G,,,,,,,,,,,,NAGPA,False,,,,False,0.0102,False,,,
SYNPCC7942_RS04585,896748,901358,4611,+,Synpcc7942_0890,WP_011377778.1,gltB,glutamate synthase large subunit,glutamate synthase,E,"GO:0003674,GO:0003824,GO:0005575,GO:0005622,GO:0005623,GO:0005737,GO:0006082,GO:0006520,GO:0006536,GO:0006537,GO:0006541,GO:0006807,GO:0008150,GO:0008152,GO:0008652,GO:0009058,GO:0009064,GO:0009084,GO:0009987,GO:0015930,GO:0016053,GO:0016491,GO:0016638,GO:0019676,GO:0019740,GO:0019752,GO:0043436,GO:0043648,GO:0043650,GO:0044237,GO:0044238,GO:0044249,GO:0044281,GO:0044283,GO:0044424,GO:0044464,GO:0046394,GO:0055114,GO:0071704,GO:1901564,GO:1901566,GO:1901576,GO:1901605,GO:1901607",1.4.7.1,ko:K00284,"ko00630,ko00910,ko01120,map00630,map00910,map01120",,"R00021,R10086","RC00006,RC00010","ko00000,ko00001,ko01000",,,,"GATase_2,GXGXG,Glu_syn_central,Glu_synthase",False,,,,False,0.0,False,,,
SYNPCC7942_RS04590,901736,902035,300,+,Synpcc7942_0891,WP_011242961.1,,DUF1830 domain-containing protein,Domain of unknown function (DUF1830),S,,,,,,,,,,,,DUF1830,False,,,,False,0.0062,False,,,
